id,author,title,image_url,small_image_url,price,books_count,isbn,isbn13,original_publication_year,original_title,language_code,average_rating
51,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg,1461,178,1416914285,9781416914280,2007,City of Bones,eng,4.12
52,Stephenie Meyer,"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg,2335,185,316160202,9780316160210,2007,Eclipse,en-US,3.69
53,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg,2098,217,375826696,9780375826700,2002,Eragon,en-US,3.86
54,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg,3074,257,345391802,9780345391800,1979,The Hitchhiker's Guide to the Galaxy,en-US,4.2
55,Aldous Huxley,Brave New World,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg,2891,515,60929871,9780060929880,1932,Brave New World,eng,3.97
56,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg,3038,183,031606792X,9780316067930,2008,Breaking Dawn,en-US,3.7
57,Sue Monk Kidd,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg,3993,125,142001740,9780142001740,2001,The Secret Life of Bees,en-US,4.01
58,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg,404,2277,142437174,9780142437180,1884,The Adventures of Huckleberry Finn,eng,3.8
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg,3362,180,64410935,9780064410940,1952,Charlotte's Web,eng,4.15
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg,408,183,1400032717,9781400032720,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85
