id,author,title,image_url,small_image_url,price,isbn,isbn13,original_publication_year,original_title,language_code,average_rating
1,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,3583,439023483,9780439023480,2008,The Hunger Games,eng,4.34
2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,2721,439554934,9780439554930,1997,Harry Potter and the Philosopher's Stone,eng,4.44
3,Stephenie Meyer,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,1023,316015849,9780316015840,2005,Twilight,en-US,3.57
4,Harper Lee,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,1071,61120081,9780061120080,1960,To Kill a Mockingbird,eng,4.25
5,F. Scott Fitzgerald,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,1389,743273567,9780743273560,1925,The Great Gatsby,eng,3.89
6,John Green,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,2143,525478817,9780525478810,2012,The Fault in Our Stars,eng,4.26
7,J.R.R. Tolkien,The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,1862,618260307,9780618260300,1937,The Hobbit or There and Back Again,en-US,4.25
8,J.D. Salinger,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,3813,316769177,9780316769170,1951,The Catcher in the Rye,eng,3.79
9,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,1972,1416524797,9781416524790,2000,Angels & Demons,en-CA,3.85
10,Jane Austen,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,3332,679783261,9780679783270,1813,Pride and Prejudice,eng,4.24
